                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0281,                 0.9551,                      1,                 1.2532,             0.00023696,             0.00023696,             0.00023696
                      2,                0.19957,                0.97823,                      1,                 1.2009,             0.00047025,             0.00047025,             0.00047025
                      3,                0.15502,                0.98231,                      1,                 1.1906,             0.00069884,             0.00069884,             0.00069884
                      4,                0.12151,                0.99456,                      1,                 1.1798,             0.00069279,             0.00069279,             0.00069279
                      5,                0.09501,                0.98776,                      1,                 1.1822,             0.00068573,             0.00068573,             0.00068573
                      6,                0.07866,                0.99456,                      1,                 1.1787,             0.00067866,             0.00067866,             0.00067866
                      7,                0.07064,                0.99456,                      1,                 1.1741,             0.00067159,             0.00067159,             0.00067159
                      8,                0.05346,                0.98639,                      1,                 1.1796,             0.00066452,             0.00066452,             0.00066452
                      9,                0.04591,                 0.9932,                      1,                 1.1759,             0.00065745,             0.00065745,             0.00065745
                     10,                 0.0474,                0.99592,                      1,                 1.1734,             0.00065038,             0.00065038,             0.00065038
                     11,                0.05784,                0.99864,                      1,                 1.1699,             0.00064331,             0.00064331,             0.00064331
                     12,                0.04332,                0.99728,                      1,                 1.1711,             0.00063625,             0.00063625,             0.00063625
                     13,                0.04876,                 0.9932,                      1,                 1.1741,             0.00062918,             0.00062918,             0.00062918
                     14,                0.03679,                0.99728,                      1,                 1.1698,             0.00062211,             0.00062211,             0.00062211
                     15,                0.03637,                0.99456,                      1,                 1.1712,             0.00061504,             0.00061504,             0.00061504
                     16,                0.03726,                0.99864,                      1,                 1.1683,             0.00060797,             0.00060797,             0.00060797
                     17,                0.02994,                0.99728,                      1,                 1.1683,              0.0006009,              0.0006009,              0.0006009
                     18,                0.03567,                0.99864,                      1,                 1.1678,             0.00059383,             0.00059383,             0.00059383
                     19,                0.02842,                0.99864,                      1,                 1.1678,             0.00058677,             0.00058677,             0.00058677
                     20,                0.02531,                0.99728,                      1,                 1.1686,              0.0005797,              0.0005797,              0.0005797
                     21,                0.02502,                0.99864,                      1,                 1.1671,             0.00057263,             0.00057263,             0.00057263
                     22,                0.01885,                      1,                      1,                 1.1659,             0.00056556,             0.00056556,             0.00056556
                     23,                0.02567,                0.99864,                      1,                 1.1681,             0.00055849,             0.00055849,             0.00055849
                     24,                0.01811,                0.99864,                      1,                 1.1668,             0.00055142,             0.00055142,             0.00055142
                     25,                0.01917,                0.99864,                      1,                  1.167,             0.00054435,             0.00054435,             0.00054435
                     26,                0.02124,                0.99592,                      1,                 1.1683,             0.00053728,             0.00053728,             0.00053728
                     27,                0.02231,                0.99864,                      1,                  1.167,             0.00053022,             0.00053022,             0.00053022
                     28,                0.02033,                 0.9932,                      1,                 1.1729,             0.00052315,             0.00052315,             0.00052315
                     29,                0.01664,                0.99592,                      1,                  1.169,             0.00051608,             0.00051608,             0.00051608
                     30,                 0.0278,                0.99864,                      1,                 1.1668,             0.00050901,             0.00050901,             0.00050901
                     31,                0.01958,                0.99728,                      1,                 1.1685,             0.00050194,             0.00050194,             0.00050194
                     32,                 0.0245,                0.99864,                      1,                 1.1677,             0.00049487,             0.00049487,             0.00049487
                     33,                0.02322,                0.99456,                      1,                 1.1706,              0.0004878,              0.0004878,              0.0004878
                     34,                0.01309,                0.99592,                      1,                 1.1692,             0.00048074,             0.00048074,             0.00048074
                     35,                0.02328,                0.99864,                      1,                 1.1681,             0.00047367,             0.00047367,             0.00047367
                     36,                 0.0136,                      1,                      1,                 1.1673,              0.0004666,              0.0004666,              0.0004666
                     37,                0.01482,                      1,                      1,                 1.1656,             0.00045953,             0.00045953,             0.00045953
                     38,                0.01644,                      1,                      1,                 1.1663,             0.00045246,             0.00045246,             0.00045246
                     39,                0.02272,                0.99456,                      1,                 1.1707,             0.00044539,             0.00044539,             0.00044539
                     40,                0.01591,                      1,                      1,                 1.1665,             0.00043832,             0.00043832,             0.00043832
                     41,                 0.0188,                0.99728,                      1,                 1.1678,             0.00043126,             0.00043126,             0.00043126
                     42,                0.02201,                0.99728,                      1,                 1.1691,             0.00042419,             0.00042419,             0.00042419
                     43,                0.01291,                      1,                      1,                 1.1661,             0.00041712,             0.00041712,             0.00041712
                     44,                0.01696,                0.99864,                      1,                 1.1659,             0.00041005,             0.00041005,             0.00041005
                     45,                0.01273,                      1,                      1,                 1.1654,             0.00040298,             0.00040298,             0.00040298
                     46,                0.01745,                      1,                      1,                 1.1657,             0.00039591,             0.00039591,             0.00039591
                     47,                0.01082,                      1,                      1,                 1.1665,             0.00038884,             0.00038884,             0.00038884
                     48,                0.01438,                0.99864,                      1,                 1.1683,             0.00038178,             0.00038178,             0.00038178
                     49,                0.01228,                0.99864,                      1,                 1.1669,             0.00037471,             0.00037471,             0.00037471
                     50,                0.01035,                0.99864,                      1,                 1.1663,             0.00036764,             0.00036764,             0.00036764
                     51,                0.00972,                0.99864,                      1,                  1.167,             0.00036057,             0.00036057,             0.00036057
                     52,                 0.0135,                0.99864,                      1,                 1.1665,              0.0003535,              0.0003535,              0.0003535
                     53,                0.01044,                0.99864,                      1,                 1.1664,             0.00034643,             0.00034643,             0.00034643
                     54,                 0.0133,                      1,                      1,                 1.1666,             0.00033936,             0.00033936,             0.00033936
                     55,                0.01353,                0.99864,                      1,                 1.1662,              0.0003323,              0.0003323,              0.0003323
                     56,                0.01045,                0.99864,                      1,                 1.1665,             0.00032523,             0.00032523,             0.00032523
                     57,                0.00842,                0.99864,                      1,                 1.1664,             0.00031816,             0.00031816,             0.00031816
                     58,                0.01156,                      1,                      1,                 1.1662,             0.00031109,             0.00031109,             0.00031109
                     59,                0.01036,                      1,                      1,                 1.1656,             0.00030402,             0.00030402,             0.00030402
                     60,                0.01456,                0.99728,                      1,                 1.1671,             0.00029695,             0.00029695,             0.00029695
