                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7571,                0.65116,                0.96124,                 1.9106,               0.000231,               0.000231,               0.000231
                      2,                0.66101,                0.78295,                0.93023,                 1.6353,             0.00046436,             0.00046436,             0.00046436
                      3,                0.17751,                0.82171,                0.96899,                 1.5024,               0.000693,               0.000693,               0.000693
                      4,                0.13998,                0.76744,                0.97674,                 1.5088,             0.00069279,             0.00069279,             0.00069279
                      5,                0.05652,                0.79845,                0.97674,                 1.5059,             0.00068573,             0.00068573,             0.00068573
                      6,                0.04258,                 0.8062,                0.97674,                  1.471,             0.00067866,             0.00067866,             0.00067866
                      7,                0.03316,                 0.7907,                 0.9845,                 1.4888,             0.00067159,             0.00067159,             0.00067159
                      8,                0.03704,                 0.8062,                 0.9845,                 1.4971,             0.00066452,             0.00066452,             0.00066452
                      9,                0.04202,                0.82171,                0.99225,                  1.471,             0.00065745,             0.00065745,             0.00065745
                     10,                0.08314,                0.79845,                0.99225,                 1.4627,             0.00065038,             0.00065038,             0.00065038
                     11,                 0.0554,                0.81395,                 0.9845,                 1.4655,             0.00064331,             0.00064331,             0.00064331
                     12,                 0.0863,                0.83721,                 0.9845,                 1.4422,             0.00063625,             0.00063625,             0.00063625
                     13,                0.06007,                0.82171,                 0.9845,                 1.4842,             0.00062918,             0.00062918,             0.00062918
                     14,                0.04211,                0.82946,                 0.9845,                 1.4619,             0.00062211,             0.00062211,             0.00062211
                     15,                0.04792,                0.83721,                0.97674,                 1.4385,             0.00061504,             0.00061504,             0.00061504
                     16,                 0.0731,                0.82171,                 0.9845,                 1.4642,             0.00060797,             0.00060797,             0.00060797
                     17,                0.04987,                0.79845,                 0.9845,                 1.4823,              0.0006009,              0.0006009,              0.0006009
                     18,                0.04189,                0.79845,                0.96124,                 1.4774,             0.00059383,             0.00059383,             0.00059383
                     19,                0.03663,                 0.7907,                0.96124,                 1.5037,             0.00058677,             0.00058677,             0.00058677
                     20,                 0.0225,                 0.7907,                0.96124,                 1.5039,              0.0005797,              0.0005797,              0.0005797
                     21,                0.01657,                0.77519,                0.95349,                 1.4814,             0.00057263,             0.00057263,             0.00057263
                     22,                0.01474,                0.78295,                0.95349,                 1.4907,             0.00056556,             0.00056556,             0.00056556
                     23,                0.02513,                 0.8062,                 0.9845,                 1.4676,             0.00055849,             0.00055849,             0.00055849
                     24,                0.10774,                 0.7907,                0.95349,                 1.4673,             0.00055142,             0.00055142,             0.00055142
                     25,                0.04187,                0.79845,                 0.9845,                 1.4666,             0.00054435,             0.00054435,             0.00054435
                     26,                0.01153,                 0.7907,                0.97674,                 1.4722,             0.00053728,             0.00053728,             0.00053728
                     27,                0.05714,                 0.7907,                 0.9845,                 1.4766,             0.00053022,             0.00053022,             0.00053022
                     28,                0.02189,                0.82171,                0.97674,                 1.4487,             0.00052315,             0.00052315,             0.00052315
                     29,                0.01144,                0.81395,                 0.9845,                 1.4526,             0.00051608,             0.00051608,             0.00051608
                     30,                0.07925,                0.83721,                 0.9845,                 1.4408,             0.00050901,             0.00050901,             0.00050901
                     31,                0.02939,                0.83721,                0.96124,                 1.4674,             0.00050194,             0.00050194,             0.00050194
                     32,                 0.0162,                0.83721,                0.95349,                 1.4427,             0.00049487,             0.00049487,             0.00049487
                     33,                0.02595,                0.82946,                0.96124,                 1.4538,              0.0004878,              0.0004878,              0.0004878
                     34,                0.01563,                0.83721,                0.96899,                 1.4315,             0.00048074,             0.00048074,             0.00048074
                     35,                0.01742,                0.82171,                0.96899,                 1.4634,             0.00047367,             0.00047367,             0.00047367
                     36,                0.02529,                0.81395,                0.97674,                 1.4561,              0.0004666,              0.0004666,              0.0004666
                     37,                0.01144,                0.82171,                0.97674,                 1.4689,             0.00045953,             0.00045953,             0.00045953
                     38,                0.02473,                0.82171,                0.96899,                 1.4723,             0.00045246,             0.00045246,             0.00045246
                     39,                0.00395,                0.81395,                0.97674,                 1.4688,             0.00044539,             0.00044539,             0.00044539
                     40,                0.01711,                0.81395,                0.96899,                 1.4627,             0.00043832,             0.00043832,             0.00043832
                     41,                0.03406,                0.83721,                0.96899,                 1.4421,             0.00043126,             0.00043126,             0.00043126
                     42,                0.00296,                0.83721,                0.96899,                 1.4375,             0.00042419,             0.00042419,             0.00042419
                     43,                0.00595,                0.83721,                0.96124,                 1.4394,             0.00041712,             0.00041712,             0.00041712
                     44,                0.00805,                0.82946,                0.96124,                 1.4316,             0.00041005,             0.00041005,             0.00041005
                     45,                0.00661,                0.82171,                0.97674,                 1.4307,             0.00040298,             0.00040298,             0.00040298
                     46,                0.00832,                0.82946,                0.96899,                 1.4434,             0.00039591,             0.00039591,             0.00039591
                     47,                0.01375,                0.82946,                0.95349,                  1.443,             0.00038884,             0.00038884,             0.00038884
                     48,                0.00256,                0.82171,                0.96124,                 1.4715,             0.00038178,             0.00038178,             0.00038178
                     49,                0.00299,                0.82171,                0.96124,                 1.4504,             0.00037471,             0.00037471,             0.00037471
                     50,                 0.0026,                 0.8062,                0.95349,                 1.4697,             0.00036764,             0.00036764,             0.00036764
